Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,Hg,geometry,pH,%OM,Type
558759,780,0.5,33.9,0.52,174,0.51,0.14,58,0.66,0.03,24.7,0.29,5.3,31.3,47,0.06,POINT (-6.081446199165134 54.0757271311648),5.64,8.84,Loam
558764,1720,0.5,29.7,1.12,644,0.29,0.28,117,0.93,0.02,64.7,0.33,7.8,38.6,50,0.08,POINT (-6.163121180333061 54.070029907968),4.69,14.94,Clay
558765,560,0.5,15.5,0.84,174,0.29,0.09,53,0.32,0.02,21.6,0.19,4.8,20.9,26,0.1,POINT (-5.975676270095567 54.08084900629215),4.92,14.51,Silt
558768,710,0.5,33.7,1.16,546,0.23,0.1,48,0.29,0.02,21.8,0.25,6.9,14.6,22,0.05,POINT (-6.065090018545546 54.04829288516479),5.44,7.88,Silt
558770,400,0.5,20.2,1.2,486,0.28,0.12,81,0.88,0.02,51.3,0.33,8,38.5,48,0.26,POINT (-6.185912119133192 54.082694753240844),3.75,16.51,Clay
558771,1610,0.5,45.5,2.03,1300,0.2,0.16,81,0.71,0.02,47.8,0.43,11.6,30.5,36,0.08,POINT (-6.095570338169099 54.04322662245991),4.55,13.08,Clay
558772,310,3,8.2,0.56,22,0.06,0.05,20,0.05,0.02,74.1,0.62,5.9,4.2,9,0.14,POINT (-6.097368397435352 54.102415210272504),3.6,43.12,Clay
558773,960,0.5,42.3,0.72,405,0.49,0.09,45,0.29,0.02,21.6,0.28,9.7,14.9,23,0.05,POINT (-6.034996684255016 54.0479125418356),5.84,11.47,Loam
558776,610,0.5,14.7,1.41,96,0.22,0.12,38,0.38,0.02,20.7,0.24,6.5,16.3,25,0.06,POINT (-6.069513605332458 54.03159701734336),4.79,8.18,Clay
558778,450,3,9.1,1.92,426,0.03,0.06,22,0.07,0.02,86.5,0.29,16,3.9,8,0.15,POINT (-6.081531341004002 54.10633289101302),3.74,26.53,Clay
558781,610,0.5,27.8,0.81,369,0.21,0.1,32,0.17,0.02,20.5,0.19,8.3,9.4,17,0.07,POINT (-5.948766906318716 54.082675346699354),5.39,8.92,Silt
558782,1020,0.5,41.8,0.64,697,0.36,0.12,105,1.11,0.02,37.1,0.44,12.5,42,52,0.08,POINT (-6.178784855789235 54.0772497605728),4.82,13.84,Clay
558785,510,0.5,26.9,0.42,284,0.17,0.11,50,0.48,0.02,21.3,0.17,4.8,23.8,33,0.13,POINT (-6.0427167384758596 54.06298146303792),4.81,8.37,Clay
558786,830,0.5,25.9,0.7,660,0.35,0.14,77,0.62,0.02,22.6,0.28,7.6,34,49,0.05,POINT (-6.123875253383125 54.06763585081922),5.12,11.74,Silt
558787,490,0.5,23.4,0.42,128,0.16,0.07,38,0.12,0.01,21.8,0.16,3.4,7.8,15,0.05,POINT (-5.992035491996357 54.07309016045471),5.68,6.99,Loam
558788,520,0.5,25.8,0.51,222,0.23,0.07,30,0.17,0.02,19.2,0.18,3.4,10.3,21,0.06,POINT (-6.039309910505962 54.08016919051975),5.41,8.47,Silt
558793,720,0.5,28,0.86,533,0.25,0.13,67,0.49,0.02,27.3,0.2,4.4,29.9,48,0.07,POINT (-6.050938663996371 54.07039330678162),5.53,8.01,Silt
558794,920,0.5,21.9,1.05,435,0.17,0.11,93,0.59,0.01,45.5,0.42,8.8,25.6,43,0.1,POINT (-6.214928426298146 54.10341759553267),4.43,10.86,Clay
558796,420,3,11.3,1.08,53,0.06,0.04,19,0.08,0.01,75.8,0.61,13.4,5.4,19,0.16,POINT (-6.11558950259799 54.10788660527074),3.77,38.12,Clay
558800,560,0.5,23.1,0.46,109,0.32,0.1,42,0.4,0.03,31.9,0.24,7.2,20.5,34,0.07,POINT (-6.047465865380927 54.08774189479346),4.39,9.35,Clay
558801,300,2,7,0.63,72,0.04,0.23,26,0.5,0.02,55.8,0.34,6.2,24.7,45,0.11,POINT (-6.013734869677502 54.1976750053045),3.67,26.47,Clay
558802,420,1,9.8,1.08,501,0.06,0.1,37,0.27,0.02,42.1,0.31,5.3,17.2,65,0.14,POINT (-6.122942144933706 54.175921463810255),3.86,20.5,Clay
558803,700,0.5,39.8,0.76,172,0.12,0.11,34,0.18,0.03,21.8,0.23,9.7,9.8,20,0.06,POINT (-5.933010580958543 54.089441341011955),4.66,8.95,Clay
558804,370,2,12.1,1.72,120,0.18,0.1,31,0.11,0.03,40,0.27,10.2,5.6,14,0.1,POINT (-6.159549950942557 54.134831174065006),4.77,12.03,Clay
558805,160,1,2.4,0.42,16,0.03,0.06,13,0.02,0.02,22.3,0.18,0.9,1.1,2,0.04,POINT (-6.14115869933184 54.13072074102733),3.35,28.34,Clay
558806,590,0.5,33,0.95,216,0.29,0.14,62,0.54,0.03,28,0.28,5.8,25.4,46,0.03,POINT (-6.112007793639344 54.20143034545001),5.02,8.02,Silt
558808,1050,0.5,50.3,1.64,632,0.22,0.28,190,0.91,0.02,59.8,0.63,11.9,37.8,62,0.07,POINT (-6.217355546940523 54.17331320052669),4.43,15.04,Clay
558809,560,0.5,15.7,0.59,566,0.35,0.2,74,0.66,0.03,23.2,0.3,2.9,26.7,45,0.04,POINT (-6.204741926468058 54.202156655190784),5.83,6.81,Loam
558810,930,0.5,56.6,0.48,311,0.31,0.26,169,1.15,0.02,73.4,0.51,10.7,56.7,87,0.07,POINT (-6.171949338256305 54.186783914617344),4.71,18.5,Clay
558811,860,1,14.8,0.53,126,0.48,0.11,55,0.27,0.01,44.5,0.78,3.9,13.3,25,0.1,POINT (-6.02708716540424 54.20625990563728),4.83,32.42,Clay
558812,530,0.5,25.9,0.39,114,0.23,0.14,60,0.38,0.02,44.8,0.33,4.5,18.2,33,0.07,POINT (-6.082640214038438 54.20150545005815),4.79,13.62,Clay
