Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,Hg,geometry,pH,%OM,Type
557636,2640,0.5,53.8,0.91,2120,0.22,0.26,157,1.14,0.02,199.0,0.66,21.2,62.6,48.0,0.05,POINT (-5.731916002826254 54.26546383679281),4.08,9.85,Clay
557638,680,0.5,32.6,0.16,537,0.44,0.38,69,1.48,0.02,26.0,0.11,8.6,68.5,50.0,0.05,POINT (-5.670006836501995 54.264642053403115),4.67,6.73,Clay
557639,1560,0.5,40.7,0.43,1230,0.22,0.28,93,1.39,0.02,36.6,0.18,6.7,61.7,53.0,0.05,POINT (-5.685127336543132 54.27394637815268),4.6,11.35,Clay
557640,1120,0.5,22.9,1.22,3870,0.28,0.16,83,0.7,0.02,21.1,0.52,6.3,70.8,56.0,0.09,POINT (-5.867208722359747 54.38435953687698),4.81,15.33,Clay
557641,290,0.5,4.5,0.21,107,0.12,0.16,24,0.34,0.04,8.4,0.06,3.7,15.4,15.0,0.03,POINT (-5.7734467237166225 54.247673784804114),4.58,5.04,Clay
557642,380,0.5,18.8,0.46,181,0.03,0.16,51,0.64,0.01,23.0,0.06,8.4,36.6,39.0,0.09,POINT (-5.875043299239152 54.34893338930246),3.8,22.61,Clay
557643,1170,0.5,34.2,0.8,613,0.27,0.19,64,0.56,0.02,26.3,0.29,14.9,27.7,35.0,0.09,POINT (-5.884247669522643 54.30211014547439),5.08,10.14,Silt
557644,610,1.0,41.6,2.66,468,0.66,0.21,58,1.02,0.02,110.0,0.2,7.0,56.2,49.0,0.14,POINT (-5.658397760403517 54.40209903997102),5.21,15.84,Silt
557645,680,0.5,25.2,0.38,567,0.22,0.21,70,0.74,0.02,19.5,0.14,6.2,54.7,47.0,0.07,POINT (-5.836655894939234 54.31518418174344),5.51,6.85,Silt
557646,400,0.5,28.1,0.49,174,0.22,0.23,62,1.19,0.03,19.0,0.06,7.5,49.1,49.0,0.02,POINT (-5.812433674072669 54.260455804235214),4.48,9.04,Clay
557647,740,0.5,18.8,0.56,684,0.18,0.22,62,0.86,0.02,22.3,0.12,7.6,40.9,46.0,0.06,POINT (-5.654655405284975 54.28843564345254),4.26,7.36,Clay
557648,910,0.5,19.9,0.6,787,0.12,0.24,67,0.89,0.02,23.0,0.16,7.8,39.1,45.0,0.06,POINT (-5.69264337852695 54.29083125151111),4.55,10.02,Clay
557649,590,0.5,31.2,0.34,467,0.19,0.28,69,0.79,0.02,23.0,0.1,8.2,43.4,38.0,0.05,POINT (-5.7168625760379275 54.41623944380325),5.04,7.92,Silt
557650,400,0.5,22.6,0.34,676,0.25,0.27,73,0.79,0.02,17.8,0.11,3.9,48.1,45.0,0.05,POINT (-5.756078934103157 54.405985391034136),5.15,7.99,Silt
