,Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,pH,%OM,ARCA_ID,OBJECTID,bh,shape_star,shape_stle,hydoconnec,rainfall_2,slope_2,landclass2,host_2,soilp_2,q10_2,riverbuff2,rwb_stat_2,erosion,riskscore2,ruleid,override,SHAPE__Length,SHAPE__Area,GlobalID,SHAPE_Length,SHAPE_Area,geometry
776,560612,25,2.0,29.2,0.42,258.0,0.61,0.04,60,0.2,0.03,13.5,0.37,4.1,20.8,27.0,4.42,34.47,{6BA2F23D-B34E-45A1-9111-11BA1F16C4BB},164373,Improved grassland,4859.04992764,340.71649728,Yes,0.1,0.1,0.3,0.0,0.2,0.0,0.0,0.2,0.0,0.9,2,,340.71649728,4859.0499108,{6BA2F23D-B34E-45A1-9111-11BA1F16C4BB},0.004702588805321542,6.853903508144947e-07,POINT (-6.375714299197909 55.20960435633863)
777,560628,430,0.5,19.7,0.36,139.0,0.31,0.14,57,0.49,0.03,12.7,0.08,1.8,45.9,75.0,4.97,44.59,{00876AC0-5A45-4AAB-8A52-4D7E22D7C2D5},15037,Arable and horticulture,16058.5906767,593.64648648,No,0.1,0.15,0.45,0.0,0.3,0.0,0.0,0.0,0.0,1.0,2,,593.64648648,16058.59079981,{00876AC0-5A45-4AAB-8A52-4D7E22D7C2D5},0.007772431194500733,2.265226518374754e-06,POINT (-6.561231948599298 55.208727207847005)
778,560638,890,0.5,57.0,0.38,1310.0,0.47,0.09,85,1.89,0.03,11.8,0.2,1.9,132.0,107.0,5.05,16.42,{E13E33AE-FD7D-4EDE-89D7-CE90D03942F0},1249,Arable and horticulture,24800.6519211,736.35930406,Yes,0.1,0.1,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.6,1,,736.35930406,24800.65174778,{E13E33AE-FD7D-4EDE-89D7-CE90D03942F0},0.010185265634221207,3.495364634274465e-06,POINT (-6.505364491935649 55.1749069355915)
779,560644,1020,0.5,46.5,0.42,2180.0,0.91,0.13,113,0.69,0.03,16.2,1.13,4.3,72.8,84.0,5.57,10.96,{6C76AB87-D0D6-4300-862D-2F36D07C43DE},171385,Improved grassland,237598.25987,4114.84181086,No,0.1,0.15,0.3,0.0,0.2,0.3,0.3,0.0,0.0,1.35,2,,4114.84181086,237598.26448522,{6C76AB87-D0D6-4300-862D-2F36D07C43DE},0.05459425088521124,3.35331328757122e-05,POINT (-6.386843088795509 55.234303774515546)
780,560661,320,0.5,39.0,0.18,229.0,0.61,0.18,57,1.02,0.02,15.6,0.08,1.2,71.3,88.0,5.2,26.38,{9C326213-8DA1-4871-B42D-5302DF35B78A},84510,Improved grassland,11580.8302587,563.69240846,Yes,0.1,0.05,0.3,0.0,0.2,0.0,0.0,0.2,0.0,0.85,2,,563.69240846,11580.83013672,{9C326213-8DA1-4871-B42D-5302DF35B78A},0.005805671680384066,1.627950019661758e-06,POINT (-6.566479824903006 55.07049147809105)
781,560680,700,0.5,48.8,0.38,352.0,0.89,0.09,73,0.89,0.06,11.8,0.3,3.5,75.7,81.0,5.09,24.28,{9AC06E6B-FF50-4E88-819D-9C7B21F35FA7},160038,Improved grassland,16152.4184529,725.22343463,No,0.1,0.15,0.3,0.0,0.3,0.3,0.3,0.0,0.0,1.45,3,,725.22343463,16152.41870874,{9AC06E6B-FF50-4E88-819D-9C7B21F35FA7},0.009589148553399807,2.277262210917989e-06,POINT (-6.579904829710114 55.18726069576555)
782,560707,1470,0.5,51.7,0.31,211.0,0.35,0.02,96,0.32,0.01,33.3,0.29,1.3,48.3,61.0,4.38,50.07,{3457DCF5-5C56-4C14-9833-44804F6BB6FA},158207,Improved grassland,3291.6037191,234.71098123,Yes,0.1,0.1,0.3,0.0,0.2,0.0,0.0,0.1,0.4,1.2,2,,234.71098123,3291.60376991,{3457DCF5-5C56-4C14-9833-44804F6BB6FA},0.003236155435753867,4.620961622609404e-07,POINT (-6.3983910386004546 55.01833003326865)
783,560708,110,0.5,1.1,0.025,18.0,0.24,0.005,7,0.04,0.005,1.9,0.04,0.05,1.9,1.0,4.29,87.08,{935CFF9F-3A2B-4DF5-86EE-DEA6751A0376},84562,Improved grassland,28460.435827,739.92429303,Yes,0.1,0.05,0.3,0.0,0.0,0.3,0.0,0.2,0.0,0.95,2,,739.92429303,28460.43605493,{935CFF9F-3A2B-4DF5-86EE-DEA6751A0376},0.009395100872807273,4.003794581376642e-06,POINT (-6.505417300327126 55.100920605436286)
784,560718,490,0.5,36.2,0.43,252.0,1.17,0.03,33,0.28,0.01,13.9,0.21,1.9,29.7,25.0,5.11,68.24,{63B41672-4234-432D-9663-19D6D712C570},162439,Improved grassland,4590.12837133,272.58267949,Yes,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.2,0.6,1.6,3,,272.58267949,4590.12836072,{63B41672-4234-432D-9663-19D6D712C570},0.003232413132888525,6.460940913295261e-07,POINT (-6.539214231109055 55.123160252709035)
785,560741,500,1.0,5.1,0.31,26.0,0.67,0.04,19,0.09,0.02,9.3,0.13,0.05,4.4,5.0,4.0,86.05,{F4AAF52E-C397-40B8-9570-4E94E7D33FC2},160291,Improved grassland,33129.6271848,754.12117711,Yes,0.1,0.1,0.3,0.0,0.1,0.0,0.0,0.1,0.0,0.7,1,,754.12117711,33129.6270639,{F4AAF52E-C397-40B8-9570-4E94E7D33FC2},0.009834596202943163,4.6709152433146e-06,POINT (-6.306995806753412 55.19263398814017)
786,560753,640,0.5,67.6,0.12,1200.0,0.66,0.04,58,1.28,0.02,6.8,0.18,0.05,139.0,133.0,5.12,19.61,{879626F6-F1DC-40E1-A32B-229E08C7E705},161985,Improved grassland,5368.77770815,353.60066342,No,0.1,0.1,0.3,0.0,0.2,0.0,0.0,0.1,0.0,0.8,1,,353.60066342,5368.77772347,{879626F6-F1DC-40E1-A32B-229E08C7E705},0.004388902552838305,7.53904531014815e-07,POINT (-6.37837019881088 55.02936628745448)
787,560755,580,0.5,78.2,0.16,374.0,0.45,0.07,64,1.66,0.03,5.2,0.14,0.05,193.0,103.0,4.99,31.55,{44F6ED1C-CC02-4C71-8698-6E7BDBD2034D},158752,Improved grassland,13462.5650976,526.67540743,Yes,0.1,0.1,0.3,0.0,0.1,0.0,0.0,0.1,0.0,0.7,1,,526.67540743,13462.56488843,{44F6ED1C-CC02-4C71-8698-6E7BDBD2034D},0.0066736305089861265,1.8912530969412665e-06,POINT (-6.379217541548171 55.046338777996134)
788,560764,230,0.5,3.9,0.11,59.0,0.13,0.15,12,0.1,0.02,10.5,0.07,0.05,5.3,14.0,4.61,9.59,{537F280F-6618-43DA-A7FE-E0946AC78EEA},114133,Improved grassland,9971.974547,403.08597101,No,0.1,0.15,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.65,1,,403.08597101,9971.9745524,{537F280F-6618-43DA-A7FE-E0946AC78EEA},0.005070104861373736,1.4059395053600036e-06,POINT (-6.250276540705797 55.192938148044604)
